Date,Day,Temperature,Rainfall,Flyers,Price,Sales
24/03/2017,Friday,56.9,0.83,41,0.3,23
25/03/2017,Saturday,58.2,0.80,50,0.3,24
26/03/2017,Sunday,59.5,0.77,39,0.3,25
27/03/2017,Monday,60.5,0.74,30,0.3,25
28/03/2017,Tuesday,55.9,0.83,48,0.3,23
29/03/2017,Wednesday,57.2,0.83,39,0.3,24
30/03/2017,Thursday,55.2,0.80,47,0.3,24
31/03/2017,Friday,58.5,0.77,48,0.3,25
01/04/2017,Saturday,57.5,0.80,33,0.3,25
02/04/2017,Sunday,65.8,0.74,47,0.3,26
03/04/2017,Monday,60.8,0.74,51,0.3,26
04/04/2017,Tuesday,62.1,0.71,31,0.3,27
05/04/2017,Wednesday,64.4,0.71,33,0.3,28
06/04/2017,Thursday,57.5,0.80,31,0.3,25
07/04/2017,Friday,59.8,0.74,44,0.3,26
08/04/2017,Saturday,63.8,0.74,37,0.3,26
09/04/2017,Sunday,63.1,0.69,52,0.3,27
10/04/2017,Monday,58.5,0.74,48,0.3,25
11/04/2017,Tuesday,60.8,0.74,34,0.3,26
12/04/2017,Wednesday,66.1,0.74,30,0.3,27
13/04/2017,Thursday,61.1,0.69,46,0.3,27
14/04/2017,Friday,61.5,0.77,49,0.3,25
15/04/2017,Saturday,65.8,0.74,41,0.3,26
16/04/2017,Sunday,65.1,0.69,43,0.3,27
17/04/2017,Monday,64.1,0.71,56,0.3,27
18/04/2017,Tuesday,62.5,0.74,31,0.3,25
19/04/2017,Wednesday,59.8,0.77,53,0.3,26
20/04/2017,Thursday,68.1,0.69,42,0.3,27
21/04/2017,Friday,67.1,0.74,48,0.3,27
22/04/2017,Saturday,57.5,0.77,47,0.3,25
23/04/2017,Sunday,60.8,0.77,50,0.3,26
24/04/2017,Monday,65.1,0.69,48,0.3,27
25/04/2017,Tuesday,65.1,0.71,37,0.3,27
26/04/2017,Wednesday,62.5,0.80,48,0.3,25
27/04/2017,Thursday,63.5,0.77,50,0.3,25
28/04/2017,Friday,58.8,0.74,32,0.3,26
29/04/2017,Saturday,65.1,0.71,32,0.3,27
30/04/2017,Sunday,67.1,0.74,35,0.3,27
01/05/2017,Monday,66.7,0.65,56,0.3,29
02/05/2017,Tuesday,65.7,0.69,40,0.3,29
03/05/2017,Wednesday,71,0.63,55,0.3,30
04/05/2017,Thursday,71.3,0.63,64,0.3,31
05/05/2017,Friday,69.4,0.71,31,0.3,28
06/05/2017,Saturday,66.7,0.67,51,0.3,29
07/05/2017,Sunday,69.7,0.65,49,0.3,29
08/05/2017,Monday,75,0.67,56,0.3,30
09/05/2017,Tuesday,71.3,0.63,56,0.3,31
10/05/2017,Wednesday,69.4,0.69,40,0.3,28
11/05/2017,Thursday,72.7,0.67,57,0.3,29
12/05/2017,Friday,66.7,0.67,40,0.3,29
13/05/2017,Saturday,70,0.65,34,0.3,30
14/05/2017,Sunday,77.3,0.63,58,0.3,31
15/05/2017,Monday,63.4,0.69,32,0.3,28
16/05/2017,Tuesday,65.7,0.67,55,0.3,29
17/05/2017,Wednesday,70.7,0.67,43,0.3,29
18/05/2017,Thursday,72,0.67,53,0.3,30
19/05/2017,Friday,75.3,0.61,58,0.3,31
20/05/2017,Saturday,64.4,0.67,59,0.3,28
21/05/2017,Sunday,71.7,0.69,47,0.3,29
22/05/2017,Monday,71,0.67,34,0.3,30
23/05/2017,Tuesday,76.3,0.63,45,0.3,31
24/05/2017,Wednesday,69.4,0.69,34,0.3,28
25/05/2017,Thursday,71.7,0.69,53,0.3,29
26/05/2017,Friday,72,0.67,63,0.3,30
27/05/2017,Saturday,77.3,0.63,56,0.3,31
28/05/2017,Sunday,71.7,0.65,45,0.3,29
29/05/2017,Monday,66.7,0.65,32,0.3,29
30/05/2017,Tuesday,75,0.67,43,0.3,30
31/05/2017,Wednesday,77.3,0.65,56,0.3,31
01/06/2017,Thursday,71.3,0.65,42,0.3,31
02/06/2017,Friday,79.9,0.59,48,0.3,33
03/06/2017,Saturday,81.5,0.56,59,0.3,35
04/06/2017,Sunday,90.4,0.51,43,0.3,38
05/06/2017,Monday,78.6,0.59,36,0.3,32
06/06/2017,Tuesday,84.2,0.56,44,0.3,34
07/06/2017,Wednesday,86.8,0.56,58,0.3,36
08/06/2017,Thursday,90.7,0.50,46,0.3,39
09/06/2017,Friday,77.6,0.61,44,0.3,32
10/06/2017,Saturday,79.5,0.54,54,0.3,35
11/06/2017,Sunday,84.8,0.53,42,0.3,36
12/06/2017,Monday,93,0.50,67,0.3,40
13/06/2017,Tuesday,75.6,0.59,65,0.3,32
14/06/2017,Wednesday,80.5,0.57,48,0.3,35
15/06/2017,Thursday,84.8,0.56,50,0.3,36
16/06/2017,Friday,99.3,0.47,77,0.3,41
17/06/2017,Saturday,76.3,0.65,47,0.3,31
18/06/2017,Sunday,72.6,0.59,60,0.3,32
19/06/2017,Monday,86.5,0.56,66,0.3,35
20/06/2017,Tuesday,85.1,0.54,70,0.3,37
21/06/2017,Wednesday,94.3,0.47,76,0.3,41
22/06/2017,Thursday,72.3,0.65,36,0.3,31
23/06/2017,Friday,79.9,0.61,39,0.3,33
24/06/2017,Saturday,80.5,0.57,50,0.3,35
25/06/2017,Sunday,85.1,0.51,58,0.3,37
26/06/2017,Monday,102.6,0.47,60,0.3,42
27/06/2017,Tuesday,75.3,0.63,62,0.3,31
28/06/2017,Wednesday,75.9,0.59,65,0.3,33
29/06/2017,Thursday,86.5,0.54,64,0.3,35
30/06/2017,Friday,89.4,0.53,47,0.3,38
01/07/2017,Saturday,102.9,0.47,59,0.5,43
02/07/2017,Sunday,93.4,0.51,68,0.5,38
03/07/2017,Monday,81.5,0.54,68,0.5,35
04/07/2017,Tuesday,84.2,0.59,49,0.5,34
05/07/2017,Wednesday,73.6,0.63,55,0.5,32
06/07/2017,Thursday,91.7,0.51,46,0.5,39
07/07/2017,Friday,82.5,0.57,41,0.5,35
08/07/2017,Saturday,83.2,0.57,44,0.5,34
09/07/2017,Sunday,77.9,0.59,44,0.5,33
10/07/2017,Monday,98,0.49,66,0.5,40
11/07/2017,Tuesday,83.5,0.54,40,0.5,35
12/07/2017,Wednesday,80.2,0.56,39,0.5,34
13/07/2017,Thursday,78.9,0.61,49,0.5,33
14/07/2017,Friday,92,0.50,80,0.5,40
15/07/2017,Saturday,82.5,0.54,56,0.5,35
16/07/2017,Sunday,79.2,0.59,50,0.5,34
17/07/2017,Monday,80.9,0.57,64,0.5,33
18/07/2017,Tuesday,99.3,0.47,76,0.5,41
19/07/2017,Wednesday,83.8,0.56,44,0.5,36
20/07/2017,Thursday,86.5,0.57,44,0.5,35
21/07/2017,Friday,76.9,0.57,59,0.5,33
22/07/2017,Saturday,99.6,0.47,49,0.5,42
23/07/2017,Sunday,89.1,0.51,72,0.5,37
24/07/2017,Monday,83.5,0.57,69,0.5,35
25/07/2017,Tuesday,79.9,0.57,64,0.5,33
26/07/2017,Wednesday,76.6,0.59,37,0.5,32
27/07/2017,Thursday,97.9,0.47,74,0.5,43
28/07/2017,Friday,87.4,0.51,58,0.5,38
29/07/2017,Saturday,85.5,0.57,50,0.5,35
30/07/2017,Sunday,78.2,0.59,52,0.5,34
31/07/2017,Monday,74.6,0.61,38,0.5,32
01/08/2017,Tuesday,75.6,0.63,56,0.5,32
02/08/2017,Wednesday,76.3,0.63,48,0.5,31
03/08/2017,Thursday,75,0.63,52,0.5,30
04/08/2017,Friday,70.7,0.69,34,0.5,29
05/08/2017,Saturday,76.6,0.61,66,0.5,32
06/08/2017,Sunday,77.3,0.61,36,0.5,31
07/08/2017,Monday,75,0.67,38,0.5,30
08/08/2017,Tuesday,68.7,0.65,50,0.5,29
09/08/2017,Wednesday,76.6,0.63,55,0.5,32
10/08/2017,Thursday,70.3,0.65,56,0.5,31
11/08/2017,Friday,75,0.67,49,0.5,30
12/08/2017,Saturday,67.7,0.65,43,0.5,29
13/08/2017,Sunday,67.7,0.65,54,0.5,29
14/08/2017,Monday,72.6,0.59,43,0.5,32
15/08/2017,Tuesday,74.3,0.63,44,0.5,31
16/08/2017,Wednesday,71,0.63,49,0.5,30
17/08/2017,Thursday,68,0.67,42,0.5,30
18/08/2017,Friday,65.7,0.69,45,0.5,29
19/08/2017,Saturday,79.6,0.61,58,0.5,32
20/08/2017,Sunday,74.3,0.65,53,0.5,31
21/08/2017,Monday,68,0.65,58,0.5,30
22/08/2017,Tuesday,69,0.63,55,0.5,30
23/08/2017,Wednesday,70.7,0.67,33,0.5,29
24/08/2017,Thursday,74.6,0.59,64,0.5,32
25/08/2017,Friday,71,0.63,55,0.5,30
26/08/2017,Saturday,70,0.63,46,0.5,30
27/08/2017,Sunday,65.7,0.65,45,0.5,29
28/08/2017,Monday,77.6,0.63,49,0.5,32
29/08/2017,Tuesday,75,0.65,40,0.5,30
30/08/2017,Wednesday,72,0.63,51,0.5,30
31/08/2017,Thursday,67.7,0.69,58,0.5,29
01/09/2017,Friday,71.7,0.69,41,0.3,29
02/09/2017,Saturday,67.4,0.69,53,0.3,28
03/09/2017,Sunday,61.1,0.69,50,0.3,27
04/09/2017,Monday,59.8,0.74,54,0.3,26
05/09/2017,Tuesday,61.8,0.71,39,0.3,26
06/09/2017,Wednesday,71.7,0.69,60,0.3,29
07/09/2017,Thursday,68.4,0.67,49,0.3,28
08/09/2017,Friday,65.1,0.71,37,0.3,27
09/09/2017,Saturday,64.8,0.77,45,0.3,26
10/09/2017,Sunday,61.8,0.74,50,0.3,26
11/09/2017,Monday,68.4,0.69,38,0.3,28
12/09/2017,Tuesday,61.1,0.71,36,0.3,27
13/09/2017,Wednesday,64.8,0.71,42,0.3,26
14/09/2017,Thursday,63.8,0.71,29,0.3,26
15/09/2017,Friday,63.4,0.67,41,0.3,28
16/09/2017,Saturday,68.1,0.69,37,0.3,27
17/09/2017,Sunday,59.8,0.71,53,0.3,26
18/09/2017,Monday,64.8,0.71,37,0.3,26
19/09/2017,Tuesday,67.4,0.67,48,0.3,28
20/09/2017,Wednesday,67.1,0.69,52,0.3,27
21/09/2017,Thursday,59.8,0.71,42,0.3,26
22/09/2017,Friday,64.8,0.74,34,0.3,26
23/09/2017,Saturday,63.4,0.71,39,0.3,28
24/09/2017,Sunday,63.4,0.71,43,0.3,28
25/09/2017,Monday,61.1,0.71,33,0.3,27
26/09/2017,Tuesday,61.8,0.77,51,0.3,26
27/09/2017,Wednesday,70.7,0.67,51,0.3,29
28/09/2017,Thursday,67.4,0.69,38,0.3,28
29/09/2017,Friday,66.1,0.71,48,0.3,27
30/09/2017,Saturday,64.8,0.74,29,0.3,26
01/10/2017,Sunday,56.5,0.80,43,0.3,25
02/10/2017,Monday,58.5,0.74,32,0.3,25
03/10/2017,Tuesday,59.2,0.80,34,0.3,24
04/10/2017,Wednesday,61.2,0.77,33,0.3,24
05/10/2017,Thursday,60.5,0.80,33,0.3,25
06/10/2017,Friday,62.5,0.74,42,0.3,25
07/10/2017,Saturday,63.5,0.80,31,0.3,25
08/10/2017,Sunday,60.2,0.80,47,0.3,24
09/10/2017,Monday,63.5,0.74,47,0.3,25
10/10/2017,Tuesday,58.5,0.74,51,0.3,25
11/10/2017,Wednesday,61.5,0.77,47,0.3,25
12/10/2017,Thursday,58.2,0.77,39,0.3,24
13/10/2017,Friday,61.5,0.80,28,0.3,25
14/10/2017,Saturday,59.5,0.74,28,0.3,25
15/10/2017,Sunday,61.5,0.74,36,0.3,25
16/10/2017,Monday,58.2,0.80,28,0.3,24
17/10/2017,Tuesday,58.5,0.77,46,0.3,25
18/10/2017,Wednesday,62.5,0.77,33,0.3,25
19/10/2017,Thursday,60.5,0.80,41,0.3,25
20/10/2017,Friday,60.2,0.80,50,0.3,24
21/10/2017,Saturday,56.2,0.83,28,0.3,24
22/10/2017,Sunday,57.5,0.77,35,0.3,25
23/10/2017,Monday,58.5,0.80,50,0.3,25
24/10/2017,Tuesday,61.5,0.74,48,0.3,25
25/10/2017,Wednesday,61.2,0.80,44,0.3,24
26/10/2017,Thursday,54.2,0.77,47,0.3,24
27/10/2017,Friday,62.8,0.71,52,0.3,26
28/10/2017,Saturday,57.5,0.77,28,0.3,25
29/10/2017,Sunday,61.5,0.80,34,0.3,25
30/10/2017,Monday,58.2,0.77,35,0.3,24
31/10/2017,Tuesday,54.2,0.77,38,0.3,24
01/11/2017,Wednesday,51.9,0.83,43,0.3,23
02/11/2017,Thursday,53.6,0.91,46,0.3,22
03/11/2017,Friday,51.3,0.87,38,0.3,21
04/11/2017,Saturday,48.7,0.95,39,0.3,19
05/11/2017,Sunday,55.9,0.87,45,0.3,23
06/11/2017,Monday,51.6,0.91,28,0.3,22
07/11/2017,Tuesday,52.3,0.91,34,0.3,21
08/11/2017,Wednesday,44.7,0.95,37,0.3,19
09/11/2017,Thursday,53.9,0.83,33,0.3,23
10/11/2017,Friday,54.6,0.87,28,0.3,22
11/11/2017,Saturday,47.3,0.91,33,0.3,21
12/11/2017,Sunday,49.7,1.05,38,0.3,19
13/11/2017,Monday,44.7,1.05,26,0.3,19
14/11/2017,Tuesday,55.9,0.80,28,0.3,23
15/11/2017,Wednesday,55.9,0.83,47,0.3,23
16/11/2017,Thursday,47.3,0.87,28,0.3,21
17/11/2017,Friday,46,1.00,31,0.3,20
18/11/2017,Saturday,48.7,1.05,37,0.3,19
19/11/2017,Sunday,55.9,0.87,34,0.3,23
20/11/2017,Monday,55.6,0.87,41,0.3,22
21/11/2017,Tuesday,47,0.95,28,0.3,20
22/11/2017,Wednesday,48.7,1.00,40,0.3,19
23/11/2017,Thursday,51.9,0.87,47,0.3,23
24/11/2017,Friday,53.6,0.83,46,0.3,22
25/11/2017,Saturday,49,0.91,32,0.3,20
26/11/2017,Sunday,49.7,1.05,30,0.3,19
27/11/2017,Monday,53.9,0.87,30,0.3,23
28/11/2017,Tuesday,54.6,0.91,37,0.3,22
29/11/2017,Wednesday,50,0.95,27,0.3,20
30/11/2017,Thursday,44.7,1.05,28,0.3,19
01/12/2017,Friday,48.7,1.00,34,0.3,19
02/12/2017,Saturday,44.1,1.11,35,0.3,17
03/12/2017,Sunday,33.5,1.18,19,0.3,15
04/12/2017,Monday,34.9,1.54,16,0.3,13
05/12/2017,Tuesday,22,1.82,11,0.3,10
06/12/2017,Wednesday,44.7,0.95,28,0.3,19
07/12/2017,Thursday,42.1,1.05,26,0.3,17
08/12/2017,Friday,40.5,1.25,30,0.3,15
09/12/2017,Saturday,31.2,1.43,19,0.3,14
10/12/2017,Sunday,31.3,1.82,15,0.3,11
11/12/2017,Monday,45.1,1.11,33,0.3,17
12/12/2017,Tuesday,33.5,1.33,22,0.3,15
13/12/2017,Wednesday,32.2,1.43,26,0.3,14
14/12/2017,Thursday,31.9,1.54,24,0.3,13
15/12/2017,Friday,42.1,1.05,30,0.3,17
16/12/2017,Saturday,35.5,1.25,30,0.3,15
17/12/2017,Sunday,32.2,1.33,16,0.3,14
18/12/2017,Monday,30.9,1.43,27,0.3,13
19/12/2017,Tuesday,41.4,1.00,33,0.3,18
20/12/2017,Wednesday,36.8,1.25,20,0.3,16
21/12/2017,Thursday,40.5,1.33,23,0.3,15
22/12/2017,Friday,30.9,1.54,17,0.3,13
23/12/2017,Saturday,42.4,1.11,20,0.3,18
24/12/2017,Sunday,35.8,1.25,26,0.3,16
25/12/2017,Monday,35.5,1.25,19,0.3,15
26/12/2017,Tuesday,28.9,1.43,23,0.3,13
27/12/2017,Wednesday,42.7,1.00,33,0.3,19
28/12/2017,Thursday,37.8,1.25,32,0.3,16
29/12/2017,Friday,39.5,1.25,17,0.3,15
30/12/2017,Saturday,30.9,1.43,22,0.3,13
31/12/2017,Sunday,15.1,2.50,9,0.3,7
